CAR No,mileage,engine,max_power,seats,year,km_driven,fuel,seller_type,transmission,owner,Loan_Amount
164740,11.36 kmpl,2755 CC,171.5 bhp,7,2017,18890,Diesel,Dealer,Automatic,First Owner,1850000
164741,20.3 kmpl,1086 CC,68 bhp,5,2019,5000,Petrol,Individual,Manual,First Owner,500000
164742,11.18 kmpl,2696 CC,184 bhp,7,2013,117000,Diesel,Dealer,Automatic,First Owner,800000
164743,13.73 kmpl,1995 CC,148 bhp,5,2013,75010,Diesel,Dealer,Automatic,First Owner,1000000
164744,21.02 kmpl,1248 CC,88.8 bhp,5,2013,50000,Diesel,Individual,Manual,First Owner,250000
164745,23.08 kmpl,1461 CC,63.1 bhp,5,2012,100000,Diesel,Dealer,Manual,First Owner,245000
164746,18.9 kmpl,1197 CC,82 bhp,5,2019,4337,Petrol,Dealer,Automatic,First Owner,625000
164747,18.78 kmpl,999 CC,75 bhp,5,2018,14495,Petrol,Dealer,Manual,First Owner,560000
164748,18.7 kmpl,1199 CC,88.7 bhp,5,2018,8576,Petrol,Dealer,Manual,First Owner,680000
164749,28.4 kmpl,1248 CC,74.02 bhp,5,2019,30000,Diesel,Individual,Manual,First Owner,700000
164750,23.03 kmpl,1396 CC,69 bhp,5,2013,80000,Diesel,Individual,Manual,First Owner,220000
164751,19.09 kmpl,1405 CC,69.01 bhp,5,2017,70000,Diesel,Individual,Manual,First Owner,450000
164752,20.3 kmpl,1199 CC,84 bhp,5,2017,19723,Petrol,Dealer,Automatic,First Owner,525000
164753,12.8 kmpl,2494 CC,102 bhp,7,2009,242000,Diesel,Individual,Manual,Fourth & Above Owner,650000
164754,17.09 kmpl,2993 CC,261.4 bhp,4,2018,22000,Diesel,Individual,Automatic,First Owner,5500000
164755,28.4 kmpl,1248 CC,74.02 bhp,5,2017,30000,Diesel,Dealer,Automatic,First Owner,875000
164756,18.6 kmpl,1197 CC,81.83 bhp,5,2019,9000,Petrol,Dealer,Manual,First Owner,785000
164757,17.5 kmpl,1199 CC,88.7 bhp,5,2017,30000,Petrol,Dealer,Manual,First Owner,819999
164758,21.76 kmpl,1995 CC,188 bhp,5,2016,60000,Diesel,Dealer,Automatic,First Owner,2950000
164759,13.68 kmpl,2393 CC,147.51 bhp,7,2016,27000,Diesel,Dealer,Manual,First Owner,1925000
164760,25.5 kmpl,1498 CC,98.6 bhp,5,2017,39000,Diesel,Dealer,Manual,First Owner,885000
164761,16.05 kmpl,1499 CC,110.4 bhp,5,2015,64000,Petrol,Dealer,Automatic,First Owner,680000
164762,23.0 kmpl,1498 CC,98.96 bhp,5,2017,42000,Diesel,Dealer,Manual,First Owner,960000
164763,18.5 kmpl,1198 CC,86.8 bhp,5,2012,45000,Petrol,Dealer,Manual,First Owner,385000
164764,17.0 kmpl,1956 CC,167.67 bhp,5,2019,15000,Diesel,Dealer,Manual,First Owner,1650000
164765,18.49 kmpl,1493 CC,100 bhp,7,2018,55000,Diesel,Dealer,Manual,First Owner,890000
164766,11.4 kmpl,2953 CC,153.86 bhp,7,2015,64000,Diesel,Dealer,Automatic,First Owner,1275000
164767,17.09 kmpl,2993 CC,261.4 bhp,4,2018,27000,Diesel,Dealer,Automatic,First Owner,6000000
164768,20.28 kmpl,1462 CC,103.25 bhp,5,2019,15000,Petrol,Dealer,Automatic,First Owner,1025000
164769,17.2 kmpl,1197 CC,103.6 bhp,5,2016,69000,Petrol,Dealer,Automatic,First Owner,675000
164770,22.0 kmpl,1197 CC,81.80 bhp,5,2017,80000,Petrol,Dealer,Manual,First Owner,700000
164771,22.77 kmpl,1498 CC,98.59 bhp,5,2016,60000,Diesel,Dealer,Manual,First Owner,780000
164772,22.32 kmpl,1582 CC,126.32 bhp,5,2017,70000,Diesel,Dealer,Manual,First Owner,1050000
164773,13.22 kmpl,2967 CC,241.4 bhp,5,2015,105000,Diesel,Dealer,Automatic,Second Owner,2700000
164774,22.95 kmpl,1248 CC,74 bhp,5,2016,100000,Diesel,Individual,Manual,First Owner,400000
164775,15.96 kmpl,2523 CC,62.1 bhp,9,2011,100000,Diesel,Individual,Manual,First Owner,400000
164776,19.7 kmpl,796 CC,46.3 bhp,5,2009,90000,Petrol,Individual,Manual,Second Owner,85000
164777,17.6 kmpl,2179 CC,153.86 bhp,7,2018,35000,Diesel,Individual,Manual,First Owner,1300000
164778,18.49 kmpl,1493 CC,100 bhp,7,2018,11500,Diesel,Individual,Manual,First Owner,819999
164779,18.49 kmpl,1493 CC,100 bhp,7,2015,40000,Diesel,Individual,Automatic,First Owner,620000
164780,23.01 kmpl,999 CC,67 bhp,5,2018,50000,Petrol,Individual,Manual,First Owner,260000
164781,16.3 kmpl,1797 CC,147.5 bhp,5,2016,49900,Petrol,Dealer,Manual,First Owner,805000
164782,18.9 kmpl,1197 CC,82 bhp,5,2015,55380,Petrol,Dealer,Manual,First Owner,484999
164783,13.6 kmpl,1999 CC,177 bhp,5,2017,9000,Diesel,Dealer,Automatic,First Owner,2711000
164784,17.0 kmpl,1198 CC,108.5 bhp,5,2018,11000,Petrol,Dealer,Manual,First Owner,811000
164785,19.0 kmpl,1199 CC,88.7 bhp,5,2015,50000,Petrol,Individual,Automatic,First Owner,575000
164786,17.1 kmpl,1956 CC,170 bhp,5,2018,80000,Diesel,Individual,Manual,First Owner,1675000
164787,14.3 kmpl,1598 CC,103.5 bhp,5,2016,11000,Petrol,Dealer,Automatic,First Owner,645000
164788,14.74 kmpl,2993 CC,270.9 bhp,5,2015,13500,Diesel,Dealer,Automatic,First Owner,2500000
164789,15.04 kmpl,1991 CC,183 bhp,5,2018,18000,Petrol,Dealer,Automatic,First Owner,2550000
164790,14.74 kmpl,1991 CC,181.04 bhp,5,2017,16000,Petrol,Dealer,Automatic,First Owner,2700000
164791,17.0 kmpl,1198 CC,73.75 bhp,5,2017,18816,Petrol,Dealer,Manual,First Owner,650000
164792,13.68 kmpl,2393 CC,147.8 bhp,7,2017,33019,Diesel,Dealer,Manual,First Owner,1748999
164793,15.6 kmpl,1497 CC,116.3 bhp,5,2017,18000,Petrol,Dealer,Automatic,First Owner,925000
164794,19.56 kmpl,1197 CC,81.80 bhp,5,2019,9654,Petrol,Dealer,Automatic,First Owner,894999
164795,23.95 kmpl,998 CC,67.05 bhp,5,2011,11000,Petrol,Dealer,Manual,First Owner,175000
164796,21.21 kmpl,1197 CC,81.80 bhp,5,2012,24300,Petrol,Dealer,Manual,First Owner,340000
164797,11.36 kmpl,2755 CC,171.5 bhp,7,2016,42163,Diesel,Dealer,Automatic,Second Owner,1525000
164798,28.09 kmpl,1248 CC,88.5 bhp,5,2017,47747,Diesel,Dealer,Manual,First Owner,810000
164799,21.5 kmpl,1497 CC,108.5 bhp,5,2018,8000,Diesel,Dealer,Automatic,First Owner,1025000
164800,22.69 kmpl,1995 CC,190 bhp,5,2016,30000,Diesel,Dealer,Automatic,First Owner,2150000
164801,12.99 kmpl,2494 CC,100 bhp,8,2013,70000,Diesel,Individual,Manual,Second Owner,910000
164802,17.88 kmpl,1405 CC,48.21 bhp,5,2016,60000,Diesel,Individual,Manual,Second Owner,300000
164803,17.3 kmpl,993 CC,60 bhp,5,2004,80000,Petrol,Individual,Manual,Second Owner,120000
164804,18.6 kmpl,1197 CC,81.83 bhp,5,2015,45900,Petrol,Individual,Manual,Second Owner,490000
164805,25.8 kmpl,1498 CC,98.6 bhp,5,2013,70000,Diesel,Individual,Manual,First Owner,425000
164806,19.7 kmpl,796 CC,46.3 bhp,5,2011,40000,Petrol,Individual,Manual,First Owner,155000
164807,12.05 kmpl,2179 CC,120 bhp,8,2013,90000,Diesel,Individual,Manual,Second Owner,490000
164808,19.7 kmpl,796 CC,46.3 bhp,5,2010,105000,Petrol,Individual,Manual,First Owner,132000
164809,22.54 kmpl,1396 CC,88.76 bhp,5,2018,30000,Diesel,Individual,Manual,First Owner,750000
164810,18.9 kmpl,998 CC,67.1 bhp,5,2011,20000,Petrol,Individual,Manual,First Owner,225000
164811,20.36 kmpl,1197 CC,78.9 bhp,5,2011,80000,Petrol,Individual,Manual,First Owner,240000
164812,18.9 kmpl,998 CC,67.1 bhp,5,2004,90000,Petrol,Individual,Manual,Third Owner,33351
164813,18.0 kmpl,995 CC,62 bhp,5,2010,80000,Petrol,Individual,Manual,Second Owner,80000
164814,16.1 kmpl,796 CC,37 bhp,4,2004,120000,Petrol,Individual,Manual,First Owner,40000
164815,21.9 kmpl,1498 CC,98.6 bhp,7,2019,50000,Diesel,Individual,Manual,Second Owner,1100000
164816,13.6 kmpl,1999 CC,177 bhp,5,2017,9000,Diesel,Dealer,Automatic,First Owner,2711000
164817,22.37 kmpl,2487 CC,214.56 bhp,5,2019,20000,Petrol,Dealer,Automatic,First Owner,5150000
164818,19.33 kmpl,1999 CC,177 bhp,5,2017,45000,Diesel,Dealer,Automatic,First Owner,3200000
164819,14.1 kmpl,2179 CC,147.94 bhp,7,2015,110000,Diesel,Individual,Manual,First Owner,503000
164820,18.0 kmpl,1969 CC,190 bhp,5,2019,20000,Diesel,Individual,Automatic,First Owner,3800000
164821,19.16 kmpl,2494 CC,157.7 bhp,5,2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,2000000
164822,21.79 kmpl,998 CC,67.05 bhp,5,2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,225000
164823,27.39 kmpl,1248 CC,74 bhp,5,2018,38817,Diesel,Dealer,Manual,First Owner,740000
164824,18.2 kmpl,1199 CC,88.7 bhp,5,2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,550000
164825,12.99 kmpl,2494 CC,100.6 bhp,7,2013,79328,Diesel,Trustmark Dealer,Manual,Second Owner,750000
164826,22.0 kmpl,1197 CC,81.80 bhp,5,2019,5621,Petrol,Trustmark Dealer,Automatic,First Owner,650000
164827,16.78 kmpl,1496 CC,88.73 bhp,5,2017,25538,Petrol,Trustmark Dealer,Manual,First Owner,625000
164828,22.0 kmpl,1197 CC,81.80 bhp,5,2018,69779,Petrol,Dealer,Automatic,First Owner,600000
164829,24.0 kmpl,1186 CC,73.97 bhp,5,2017,56290,Diesel,Dealer,Manual,First Owner,450000
164830,16.78 kmpl,1995 CC,190 bhp,5,2019,7500,Diesel,Dealer,Automatic,First Owner,5400000
164831,16.78 kmpl,1995 CC,190 bhp,5,2019,8500,Diesel,Dealer,Automatic,First Owner,5500000
164832,19.0 kmpl,1199 CC,88.76 bhp,5,2019,7032,Petrol,Trustmark Dealer,Automatic,First Owner,779000
164833,14.3 kmpl,1598 CC,103.5 bhp,5,2016,11000,Petrol,Dealer,Automatic,First Owner,645000
164834,16.8 kmpl,1984 CC,150 bhp,5,2018,2000,Diesel,Dealer,Automatic,First Owner,2475000
164835,24.4 kmpl,1120 CC,71 bhp,5,2016,80000,Diesel,Individual,Manual,Second Owner,380000
164836,11.57 kmpl,2179 CC,138.1 bhp,7,2011,120000,Diesel,Individual,Manual,Second Owner,300000
164837,22.74 kmpl,796 CC,47.3 bhp,5,2014,50000,Petrol,Individual,Manual,First Owner,240000
164838,22.9 kmpl,1248 CC,74 bhp,5,2011,70000,Diesel,Individual,Manual,First Owner,325000
164839,25.32 kmpl,1198 CC,77 bhp,6,2016,130000,Diesel,Individual,Manual,First Owner,400000
164840,21.04 kmpl,1461 CC,83.8 bhp,8,2017,50000,Diesel,Individual,Manual,First Owner,800000
164841,23.0 kmpl,1498 CC,98.96 bhp,5,2018,80000,Diesel,Individual,Manual,First Owner,950000
164842,22.9 kmpl,1248 CC,74 bhp,5,2013,120000,Diesel,Individual,Manual,Fourth & Above Owner,300000
164843,22.05 kmpl,796 CC,47.3 bhp,5,2020,5000,Petrol,Individual,Manual,First Owner,350000
164844,18.15 kmpl,1198 CC,82 bhp,5,2017,59000,Petrol,Individual,Manual,First Owner,530000
164845,18.2 kmpl,1248 CC,73.8 bhp,7,2013,100000,Diesel,Individual,Manual,Third Owner,350000
164846,11.0 kmpl,2359 CC,165 bhp,5,2008,50000,Petrol,Individual,Automatic,First Owner,168000
164847,25.17 kmpl,799 CC,53.3 bhp,5,2016,45000,Petrol,Individual,Manual,Second Owner,240000
164848,19.3 kmpl,1248 CC,73.9 bhp,5,2010,80000,Diesel,Individual,Manual,Fourth & Above Owner,220000
164849,18.9 kmpl,1061 CC,67 bhp,5,2008,80000,Petrol,Individual,Manual,Fourth & Above Owner,110000
164850,24.3 kmpl,1248 CC,88.5 bhp,5,2016,100000,Diesel,Individual,Manual,First Owner,850000
164851,20.77 kmpl,1248 CC,88.76 bhp,7,2014,110000,Diesel,Individual,Manual,First Owner,545000
164852,13.68 kmpl,2393 CC,147.8 bhp,8,2018,24000,Diesel,Individual,Manual,First Owner,2064000
164853,25.1 kmpl,1248 CC,88.5 bhp,5,2018,25000,Diesel,Individual,Manual,First Owner,950000
164854,21.1 kmpl,814 CC,55.2 bhp,5,2013,68697,Petrol,Individual,Manual,Third Owner,200000
164855,25.2 kmpl,1248 CC,74 bhp,5,2017,30000,Diesel,Individual,Manual,First Owner,660000
164856,25.8 kmpl,1498 CC,98.6 bhp,5,2013,40000,Diesel,Individual,Manual,Second Owner,420000
164857,16.5 kmpl,1172 CC,65 bhp,5,2010,29000,Petrol,Individual,Manual,First Owner,150000
164858,25.44 kmpl,936 CC,57.6 bhp,5,2013,68000,Diesel,Individual,Manual,Second Owner,175000
164859,18.1 kmpl,1199 CC,88.7 bhp,5,2018,15000,Petrol,Individual,Automatic,First Owner,750000
164860,23.2 kmpl,1248 CC,73.94 bhp,5,2014,70000,Diesel,Individual,Manual,First Owner,425000
164861,21.43 kmpl,1364 CC,87.2 bhp,5,2015,126000,Diesel,Individual,Manual,Third Owner,790000
164862,12.8 kmpl,2494 CC,102 bhp,7,2011,300000,Diesel,Individual,Manual,Third Owner,830000
164863,24.5 kmpl,1498 CC,98.6 bhp,7,2015,94000,Diesel,Individual,Manual,Second Owner,650000
164864,21.43 kmpl,1364 CC,87.2 bhp,5,2015,129000,Diesel,Individual,Manual,Third Owner,780000
164865,19.81 kmpl,1086 CC,68.05 bhp,5,2010,55000,Petrol,Individual,Manual,Second Owner,180000
164866,23.0 kmpl,1498 CC,98.96 bhp,5,2019,40000,Diesel,Individual,Manual,First Owner,869999
164867,21.12 kmpl,1248 CC,88.8 bhp,5,2011,50000,Diesel,Individual,Manual,First Owner,275000
164868,18.6 kmpl,1197 CC,81.83 bhp,5,2017,25000,Petrol,Individual,Manual,Second Owner,630000
164869,13.4 kmpl,1794 CC,125 bhp,5,2008,60000,Petrol,Individual,Manual,Second Owner,150000
164870,22.74 kmpl,796 CC,47.3 bhp,5,2016,25000,Petrol,Individual,Manual,First Owner,315000
164871,23.57 kmpl,1396 CC,70 bhp,5,2011,70000,Diesel,Individual,Manual,Second Owner,189000
164872,23.4 kmpl,1248 CC,74 bhp,5,2014,120000,Diesel,Individual,Manual,First Owner,580000
164873,,,,,2009,153000,Diesel,Individual,Manual,Second Owner,150000
164874,24.3 kmpl,1248 CC,88.5 bhp,5,2018,35000,Diesel,Individual,Manual,First Owner,825000
164875,14.1 kmpl,2179 CC,148 bhp,7,2016,60000,Diesel,Individual,Manual,Second Owner,650000
164876,13.0 kmpl,1343 CC,90 bhp,5,2004,62000,Petrol,Individual,Manual,Second Owner,50000
164877,16.25 kmpl,1198 CC,73.9 bhp,5,2011,120000,Petrol,Individual,Manual,Second Owner,200000
164878,15.42 kmpl,1405 CC,70 bhp,7,2013,120000,Diesel,Individual,Manual,Third Owner,135000
164879,22.54 kmpl,1396 CC,88.73 bhp,5,2017,80000,Diesel,Individual,Manual,First Owner,680000
164880,22.54 kmpl,1396 CC,88.73 bhp,5,2017,80000,Diesel,Individual,Manual,First Owner,670000
164881,16.73 kmpl,1995 CC,218 bhp,5,2010,60000,Diesel,Individual,Automatic,First Owner,1000000
164882,20.92 kmpl,998 CC,67.1 bhp,5,2010,80000,Petrol,Individual,Manual,Second Owner,240000
164883,17.0 kmpl,2200 CC,139.01 bhp,7,2014,147279,Diesel,Individual,Manual,Second Owner,555000
164884,20.5 kmpl,1598 CC,103.5 bhp,5,2013,98000,Diesel,Individual,Manual,First Owner,455000
164885,28.4 kmpl,1248 CC,74.02 bhp,5,2018,25000,Diesel,Individual,Manual,First Owner,750000
164886,26.59 kmpl,1248 CC,74 bhp,5,2016,90000,Diesel,Individual,Automatic,First Owner,700000
164887,21.9 kmpl,624 CC,37.48 bhp,4,2016,22000,Petrol,Individual,Automatic,First Owner,220000
164888,25.0 kmpl,1396 CC,69 bhp,5,2014,120000,Diesel,Individual,Manual,First Owner,160000
164889,22.1 kmpl,1248 CC,76.9 bhp,5,2013,100000,Diesel,Individual,Manual,Second Owner,225000
164890,19.09 kmpl,1396 CC,69 bhp,5,2008,120000,Diesel,Individual,Manual,Second Owner,140000
164891,23.4 kmpl,1248 CC,74 bhp,5,2014,70000,Diesel,Individual,Manual,Second Owner,600000
164892,16.0 kmpl,2179 CC,140 bhp,7,2015,24700,Diesel,Individual,Manual,First Owner,1000000
164893,18.0 kmpl,995 CC,62 bhp,5,2008,100000,Petrol,Individual,Manual,Third Owner,65000
164894,20.89 kmpl,1197 CC,81.80 bhp,5,2019,10000,Petrol,Individual,Manual,First Owner,500000
164895,16.0 kmpl,2179 CC,140 bhp,7,2017,88754,Diesel,Dealer,Manual,First Owner,1100000
164896,,,,,2011,53287,Petrol,Dealer,Manual,First Owner,325000
164897,16.0 kmpl,2179 CC,140 bhp,7,2017,43526,Diesel,Dealer,Manual,First Owner,1150000
164898,16.25 kmpl,1198 CC,75 bhp,5,2012,55885,Petrol,Dealer,Manual,First Owner,320000
164899,21.7 kmpl,1498 CC,98.96 bhp,5,2019,16034,Diesel,Dealer,Manual,First Owner,950000
164900,20.0 kmpl,1399 CC,68 bhp,5,2012,156040,Diesel,Dealer,Manual,First Owner,250000
164901,13.1 kmpl,2499 CC,141 bhp,7,2004,93415,Diesel,Dealer,Manual,First Owner,400000
164902,18.48 kmpl,1995 CC,177 bhp,5,2008,122000,Diesel,Individual,Automatic,Second Owner,1100000
164903,27.39 kmpl,1248 CC,74 bhp,5,2017,20000,Diesel,Individual,Manual,First Owner,600000
164904,22.0 kmpl,1197 CC,81.80 bhp,5,2017,46000,Petrol,Individual,Manual,First Owner,509999
164905,15.41 kmpl,1598 CC,103.2 bhp,5,2016,50000,Petrol,Individual,Manual,Third Owner,395000
164906,21.79 kmpl,998 CC,67.05 bhp,5,2018,5000,Petrol,Individual,Manual,First Owner,469000
164907,24.7 kmpl,796 CC,47.3 bhp,5,2017,42000,Petrol,Individual,Manual,First Owner,250000
164908,16.2 kmpl,995 CC,62.1 bhp,5,2011,68519,Petrol,Dealer,Manual,First Owner,130000
164909,23.0 kmpl,1498 CC,98.96 bhp,5,2019,30000,Diesel,Individual,Manual,First Owner,906000
164910,20.0 kmpl,1399 CC,68 bhp,5,2011,85000,Diesel,Individual,Manual,First Owner,160000
164911,17.5 kmpl,1298 CC,85.8 bhp,5,2012,88000,Petrol,Individual,Manual,First Owner,300000
164912,14.0 kmpl,796 CC,37.5 bhp,5,2010,100000,Petrol,Individual,Manual,Fourth & Above Owner,60000
164913,19.1 kmpl,1197 CC,85.8 bhp,5,2014,100000,Petrol,Individual,Manual,Second Owner,400000
164914,23.84 kmpl,1199 CC,84.48 bhp,5,2018,22966,Petrol,Dealer,Manual,First Owner,450000
164915,15.96 kmpl,2523 CC,62.1 bhp,7,2014,80000,Diesel,Individual,Manual,Second Owner,465000
164916,22.9 kmpl,1248 CC,74 bhp,5,2012,80000,Diesel,Individual,Manual,Second Owner,325000
164917,19.7 kmpl,796 CC,46.3 bhp,5,2008,70000,Petrol,Individual,Manual,Second Owner,150000
164918,21.1 kmpl,814 CC,55.2 bhp,5,2014,2350,Petrol,Individual,Manual,First Owner,250000
164919,19.7 kmpl,796 CC,46.3 bhp,5,2011,50000,Petrol,Individual,Manual,First Owner,175000
164920,19.7 kmpl,796 CC,46.3 bhp,5,2010,58000,Petrol,Individual,Manual,First Owner,175000
164921,16.9 kmpl,1497 CC,100 bhp,5,2006,80000,Petrol,Individual,Manual,Second Owner,150000
164922,16.5 kmpl,1493 CC,70 bhp,7,2018,60000,Diesel,Individual,Manual,First Owner,797000
164923,18.6 kmpl,1197 CC,81.86 bhp,5,2019,35000,Petrol,Individual,Manual,First Owner,800000
164924,15.96 kmpl,2523 CC,62.1 bhp,7,2019,59872,Diesel,Individual,Manual,First Owner,750000
164925,13.5 kmpl,2179 CC,115 bhp,5,2011,140000,Diesel,Individual,Manual,Second Owner,400000
164926,19.7 kmpl,796 CC,46.3 bhp,5,2012,110000,Petrol,Individual,Manual,First Owner,160000
164927,15.96 kmpl,2523 CC,62.1 bhp,7,2016,91182,Diesel,Individual,Manual,First Owner,700000
164928,19.7 kmpl,796 CC,46.3 bhp,5,2010,60000,Petrol,Individual,Manual,Third Owner,160000
164929,21.27 kmpl,1396 CC,88.76 bhp,5,2012,100000,Diesel,Individual,Manual,First Owner,400000
164930,23.59 kmpl,1364 CC,67.06 bhp,5,2013,120000,Diesel,Individual,Manual,First Owner,451000
164931,16.1 kmpl,796 CC,37 bhp,4,2002,80000,Petrol,Individual,Manual,First Owner,40000
164932,21.12 kmpl,1248 CC,88.8 bhp,5,2012,70000,Diesel,Individual,Manual,Third Owner,300000
164933,23.1 kmpl,998 CC,67.04 bhp,5,2017,59500,Petrol,Individual,Manual,Second Owner,421000
164934,24.3 kmpl,1248 CC,88.5 bhp,5,2016,45000,Diesel,Individual,Manual,First Owner,950000
164935,23.0 kmpl,1396 CC,90 bhp,5,2011,75500,Diesel,Individual,Manual,Second Owner,395000
164936,24.3 kmpl,1248 CC,88.5 bhp,5,2016,46000,Diesel,Individual,Manual,Second Owner,950000
164937,22.74 kmpl,796 CC,47.3 bhp,5,2013,60000,Petrol,Individual,Manual,First Owner,270000
164938,15.0 kmpl,1396 CC,100 bhp,5,2009,60000,Petrol,Individual,Automatic,Second Owner,360000
164939,17.8 kmpl,1248 CC,75 bhp,5,2008,152500,Diesel,Individual,Manual,First Owner,235000
164940,13.0 kmpl,2143 CC,201.1 bhp,5,2014,60000,Diesel,Individual,Automatic,Second Owner,1850000
164941,12.55 kmpl,2982 CC,168.5 bhp,7,2015,130000,Diesel,Individual,Automatic,First Owner,1900000
164942,18.9 kmpl,1197 CC,82 bhp,5,2017,23456,Petrol,Dealer,Manual,First Owner,550000
164943,16.0 kmpl,2179 CC,140 bhp,7,2015,39000,Diesel,Dealer,Manual,First Owner,1225000
164944,17.5 kmpl,1199 CC,88.7 bhp,5,2017,15000,Petrol,Individual,Manual,First Owner,700000
164945,17.1 kmpl,1956 CC,170 bhp,5,2017,69123,Diesel,Dealer,Manual,First Owner,1650000
164946,19.4 kmpl,1198 CC,86.8 bhp,5,2012,26000,Petrol,Individual,Manual,First Owner,376000
164947,22.7 kmpl,1498 CC,89.84 bhp,5,2017,77524,Diesel,Dealer,Manual,First Owner,875000
164948,18.5 kmpl,1197 CC,82.85 bhp,5,2014,40523,Petrol,Dealer,Manual,Second Owner,459999
164949,28.4 kmpl,1248 CC,74 bhp,5,2018,39000,Diesel,Dealer,Manual,First Owner,755000
164950,15.26 kmpl,1798 CC,187.74 bhp,5,2019,7800,Petrol,Dealer,Automatic,Test Drive Car,6223000
164951,15.26 kmpl,1798 CC,187.74 bhp,5,2019,11500,Petrol,Dealer,Automatic,Test Drive Car,5923000
164952,15.26 kmpl,1798 CC,187.74 bhp,5,2019,23600,Petrol,Dealer,Automatic,Test Drive Car,6523000
164953,11.5 kmpl,2982 CC,171 bhp,7,2010,220000,Diesel,Individual,Manual,Second Owner,1050000
164954,,,,,2004,218000,Diesel,Individual,Manual,Second Owner,215000
164955,15.1 kmpl,2179 CC,140 bhp,7,2015,120000,Diesel,Individual,Manual,Second Owner,1050000
164956,21.4 kmpl,1197 CC,83.1 bhp,5,2018,25000,Petrol,Individual,Automatic,First Owner,800000
164957,25.2 kmpl,1248 CC,74 bhp,5,2015,31000,Diesel,Individual,Manual,Second Owner,600000
164958,21.4 kmpl,1197 CC,83.1 bhp,5,2017,42000,Petrol,Individual,Manual,First Owner,530000
164959,20.85 kmpl,1197 CC,83.14 bhp,5,2015,80000,Petrol,Individual,Manual,First Owner,450000
164960,20.92 kmpl,998 CC,67.1 bhp,5,2011,60000,Petrol,Individual,Manual,First Owner,235000
164961,23.4 kmpl,1248 CC,74 bhp,5,2013,240000,Diesel,Individual,Manual,First Owner,550000
164962,14.3 kmpl,1598 CC,103.5 bhp,5,2013,35000,Petrol,Individual,Automatic,Second Owner,395000
164963,20.3 kmpl,1199 CC,84 bhp,5,2018,35000,Petrol,Individual,Manual,First Owner,450000
164964,20.0 kmpl,999 CC,72 bhp,7,2019,5000,Petrol,Individual,Manual,First Owner,600000
164965,24.3 kmpl,1248 CC,88.5 bhp,5,2016,110000,Diesel,Individual,Manual,First Owner,610000
164966,18.6 kmpl,1197 CC,81.83 bhp,5,2017,20000,Petrol,Individual,Manual,First Owner,690000
164967,17.0 kmpl,1198 CC,108.5 bhp,5,2018,15000,Petrol,Individual,Manual,First Owner,790000
164968,20.92 kmpl,998 CC,67.1 bhp,5,2014,40000,Petrol,Individual,Manual,Second Owner,254999
164969,18.7 kmpl,1199 CC,88.7 bhp,5,2016,41000,Petrol,Individual,Manual,First Owner,500000
164970,13.6 kmpl,2523 CC,63 bhp,7,2011,100000,Diesel,Individual,Manual,Second Owner,340000
164971,12.2 kmpl,1948 CC,68 bhp,9,2008,120000,Diesel,Individual,Manual,First Owner,150000
164972,13.6 kmpl,2523 CC,63 bhp,7,2007,110000,Diesel,Individual,Manual,Third Owner,245000
164973,20.34 kmpl,1498 CC,103.2 bhp,5,2015,120000,Diesel,Individual,Manual,Second Owner,515000
164974,12.8 kmpl,1995 CC,52 bhp,5,2008,60000,Diesel,Individual,Manual,Second Owner,122000
164975,19.81 kmpl,1086 CC,68.05 bhp,5,2009,35000,Petrol,Individual,Manual,Third Owner,160000
164976,19.7 kmpl,796 CC,46.3 bhp,5,2007,120000,Petrol,Individual,Manual,Second Owner,110000
164977,25.2 kmpl,1248 CC,74 bhp,5,2014,70000,Diesel,Individual,Manual,First Owner,360000
164978,,,,,2009,110000,Diesel,Individual,Manual,First Owner,210000
164979,16.2 kmpl,1493 CC,110 bhp,5,2011,90000,Diesel,Individual,Manual,Third Owner,260000
164980,19.7 kmpl,796 CC,46.3 bhp,5,2007,60000,Petrol,Individual,Manual,Second Owner,128000
164981,23.9 kmpl,1582 CC,126.2 bhp,5,2015,80000,Diesel,Individual,Manual,Second Owner,600000
164982,11.5 kmpl,2982 CC,171 bhp,7,2010,151000,Diesel,Individual,Manual,Second Owner,800000
164983,28.4 kmpl,1248 CC,74.02 bhp,5,2019,25000,Diesel,Individual,Manual,First Owner,675000
164984,16.0 kmpl,2179 CC,140 bhp,7,2015,24700,Diesel,Individual,Manual,First Owner,1000000
164985,18.0 kmpl,995 CC,62 bhp,5,2008,100000,Petrol,Individual,Manual,Third Owner,65000
164986,20.89 kmpl,1197 CC,81.80 bhp,5,2019,10000,Petrol,Individual,Manual,First Owner,500000
164987,15.0 kmpl,1586 CC,104.68 bhp,5,2010,50000,Petrol,Individual,Manual,First Owner,300000
164988,16.1 kmpl,796 CC,37 bhp,4,2009,80000,Petrol,Individual,Manual,First Owner,125000
164989,18.9 kmpl,1197 CC,82 bhp,5,2017,25000,Petrol,Individual,Manual,First Owner,550000
164990,19.7 kmpl,796 CC,46.3 bhp,5,2007,80000,Petrol,Individual,Manual,Third Owner,150000
164991,15.4 kmpl,2179 CC,120 bhp,7,2017,80000,Diesel,Individual,Manual,First Owner,891000
164992,12.99 kmpl,2494 CC,100.6 bhp,7,2015,70000,Diesel,Individual,Manual,First Owner,1050000
